Round,Date,TeamA,TeamB,Tournament,City,Country,Neutral,IsHomeA,IsHomeB,IsMajorTournament,IsFriendly,IsEuros,Year,Recent3A,Recent3B,Recent5A,Recent5B,Recent10A,Recent10B,RecentGF10A,RecentGA10A,RecentGF10B,RecentGA10B,EloA,EloB,EloDiff,ScoreA,ScoreB,PointsA,PointsB,Simulation
4,2024-06-29,Switzerland,Italy,UEFA Euro,Munich,Germany,0,0,0,1,0,1,2024,7,7,8,11,15,21,16,9,18,8,1812.9334106176636,1931.088950999999,-118.1555403823354,1,1,1,1,0
4,2024-06-29,Germany,Denmark,UEFA Euro,Cologne,Germany,1,1,0,1,0,1,2024,7,9,10,10,17,25,16,15,19,7,1899.8001546880043,1862.3618239453883,37.43833074261602,1,1,1,1,0
4,2024-06-30,England,Slovakia,UEFA Euro,Berlin,Germany,1,0,0,1,0,1,2024,4,7,5,10,18,19,16,8,21,10,1940.3291628795612,1683.7467137190013,256.5824491605599,2,1,3,0,0
4,2024-06-30,Spain,Georgia,UEFA Euro,Dortmund,Germany,1,0,0,1,0,1,2024,7,7,10,8,25,14,35,8,22,17,1970.4046921535014,1687.989534307945,282.41515784555645,2,1,3,0,0
4,2024-07-01,France,Belgium,UEFA Euro,Stuttgart,Germany,1,0,0,1,0,1,2024,7,7,8,11,20,24,31,10,23,5,1984.6895058751925,1960.752657220444,23.936848654748474,1,1,1,1,0
4,2024-07-01,Portugal,Slovenia,UEFA Euro,Gelsenkirchen,Germany,1,0,0,1,0,1,2024,6,7,9,11,24,23,34,10,19,7,1933.093339830601,1746.300045222022,186.79329460857912,2,1,3,0,0
4,2024-07-02,Romania,Netherlands,UEFA Euro,Hamburg,Germany,1,0,0,1,0,1,2024,2,6,6,12,17,24,13,6,27,5,1664.834609618437,1950.4277953974147,-285.5931857789776,1,2,0,3,0
4,2024-07-02,Austria,Turkey,UEFA Euro,DÃ¼sseldorf,Germany,1,0,0,1,0,1,2024,7,1,13,2,23,12,22,8,14,17,1850.680433981841,1753.6539895600968,97.02644442174415,1,1,1,1,0
5,2024-07-05,Spain,Germany,UEFA Euro,Munich,Germany,1,0,1,1,0,1,2024,7,7,10,10,25,17,35,8,16,15,1970.4046921535014,1899.8001546880043,70.60453746549706,1,1,1,1,0
5,2024-07-05,Portugal,France,UEFA Euro,Frankfurt,Germany,1,0,0,1,0,1,2024,6,7,9,8,24,20,34,10,31,10,1933.093339830601,1984.6895058751925,-51.59616604459143,1,2,0,3,0
5,2024-07-06,Netherlands,Turkey,UEFA Euro,Dortmund,Germany,1,0,0,1,0,1,2024,6,1,12,2,24,12,27,5,14,17,1950.4277953974147,1753.6539895600968,196.77380583731792,2,1,3,0,0
5,2024-07-06,England,Switzerland,UEFA Euro,Leipzig,Germany,1,0,0,1,0,1,2024,4,7,5,8,18,15,16,8,16,9,1940.3291628795612,1812.9334106176636,127.39575226189754,1,1,1,1,0
6,2024-07-09,Spain,France,UEFA Euro,Stuttgart,Germany,0,0,0,1,0,1,2024,7,7,10,8,25,20,35,8,31,10,1970.4046921535014,1984.6895058751925,-14.28481372169108,1,2,0,3,0
6,2024-07-10,Netherlands,England,UEFA Euro,Cologne,Germany,1,0,0,1,0,1,2024,6,4,12,5,24,18,27,5,16,8,1950.4277953974147,1940.3291628795612,10.098632517853503,1,1,1,1,0
7,2024-07-14,Spain,England,UEFA Euro,Hamburg,Germany,1,0,0,1,0,1,2024,7,4,10,5,25,18,35,8,16,8,1970.4046921535014,1940.3291628795612,30.07552927394022,1,1,1,1,0
